"key","en","es","fr","de","ja"
"bamm_welcome_startup_caption_01","Initiating Biometrics. Please wait up to ten minutes before engaging in normally fatal activities.","Iniciando biometría. Espera hasta diez minutos antes de participar en actividades generalmente mortales.","Initiation de la biométrie. Patientez dix minutes avant de vous livrer à des activités généralement fatales.","Biometrie einleiten. Bitte warte bis zu zehn Minuten, bevor du dich an normal tödlichen Aktivitäten beteiligst.",Initiating Biometrics. Please wait up to ten minutes before engaging in normally fatal activities.
"chapternum","Chapter {0}","Capítulo {0}","Chapitre {0}","Kapitel {0}",Chapter {0}
"character_brian_stats","- Faster movement
- Ammo + health pickups
- No health replenishing or ammo synthesizer
","- Movimiento más rápido
- Recoge objetos para recuperar vida y munición
- Sin recuperación de vida ni sintetizador de munición","- Déplacement plus rapide
- Munitions + kits de santé
- Ne restaure pas la santé ni le synthétiseur de munitions","- Schnellere Bewegung
 - Munition + Gesundheits-Pick-ups
 - Keine Gesundheitsauffüllung oder Munitionssynthesizer","- Faster movement
- Ammo + health pickups
- No health replenishing or ammo synthesizer
"
"character_brian_subtitle","Boomer Shooter","Tirador de la vieja escuela","Tireur boomer","Boomer-Shooter",Boomer Shooter
"character_nani","Nani","Nani","Nani","Nani",Nani
"character_nani_stats","- Levitation
- Telekinesis
- Magic attacks
- Higher recoil","- Levitación
- Telequinesis
- Ataques mágicos
- Mayor retroceso","- Lévitation
- Télékinésie
- Attaques magiques
- Recul plus élevé","- Levitation
 - Telekinese
 - Magische Angriffe
 - Höherer Rückstoß","- Levitation
- Telekinesis
- Magic attacks
- Higher recoil"
"character_nani_sub","Psychic Damage","Daño psíquico","Dégâts psychiques","Psychischer Schaden",Psychic Damage
"character_officer13","Officer 13","Oficial 13","Agent 13","Officer 13",Officer 13
"character_officer13_stats","- Higher Health
- Holographic HUD with enemy health + damage stats","- Más vida
- Interfaz holográfica en la que figuran el daño y la vida del enemigo","- Santé plus élevée
- ATH holographique avec santé de l'ennemi + stats de dégâts","- Höhere Gesundheit
 - Holografisches HUD mit gegnerischen Lebens- und Schadensstatistiken","- Higher Health
- Holographic HUD with enemy health + damage stats"
"character_officer13_sub","Lucky 13","13 de la suerte","13 porte-bonheur","Lucky 13",Lucky 13
"character_sonja","Sonja","Sonja","Sonja","Sonja",Sonja
"character_sonja_stats","Default gameplay","Modo de juego predeterminado","Options de jeu par défaut","Standard-Gameplay",Default gameplay
"character_sonja_sub","Canon Protagonist","Protagonista oficial","Protagoniste canonique","Kanonischer Protagonist",Canon Protagonist
"credits_bhaptics","BHaptics integration
by Florian Fahrenberger","Integración con bHaptics
Florian Fahrenberger","Intégration BHaptics
de Florian Fahrenberger","BHaptics Integration
 von Florian Fahrenberger","BHaptics integration
by Florian Fahrenberger"
"credits_cast1","Brian
Therus
Sylvia
Officer 13
BAMM voice
Dying Alien
Planck Announcer
Hideous Growth
Nani
Saplord
Holy Soldiers / Qonik
Holy Guard
Rebel villagers
Church Villagers
Maharishi Ghronto
General Sintho
Rebel Soldier (male)
Rebel Soldier (female)
L'resa
Gentlehand
Worker Bots / The Seer
Emilia Planck
Henrique
Security Bots","Brian
Therus
Sylvia
Oficial13
Voz del BAMM
Alien moribundo
Anuncios de Planck
Crecimiento espantoso
Nani
Señora de la savia
Soldados sagrados/Qonik
Guardia Sagrada
Aldeanos rebeldes
Aldeanos de la Iglesia
Maharishi Ghronto
General Sintho
Soldado rebelde (hombre)
Soldado rebelde (mujer)
L'resa
Manoamiga
Robots trabajadores/La Vidente
Emilia Planck
Henrique
Robots de seguridad","Brian
Thérus
Sylvia
Agent 13
Voix BBAM
Extraterrestre mourant
Annonceur de Planck
Tumeur hideuse
Nani
Séveur
Soldats saints/Qonik
Garde saint
Villageois rebelles
Villageois de l'Église
Maharishi Ghronto
Général Sintho
Soldat rebelle
Soldate rebelle 
L'resa
Gentlemain
Robots ouvriers/La Voyante
Emilia Planck
Henrique
Robots de sécurité","Brian
 Therus
 Sylvia
 Officer 13
 BAMM-Stimme
 Sterbendes Alien
 Planck-Ansager
 Abscheuliches Gewächs
 Nani
 Saftlord
 Heilige Soldaten / Qonik
 Heiliger Wächter
 Rebellen-Dorfbewohner
 Kirchen-Dorfbewohner
 Maharishi Ghronto
 General Sintho
 Rebellen-Soldat (männlich)
 Rebellen-Soldat (weiblich)
 L’resa
 Gentlehand
 Arbeiter-Bots/Die Seherin
 Emilia Planck
 Henrique
 Security-Bots","Brian
Therus
Sylvia
Officer 13
BAMM voice
Dying Alien
Planck Announcer
Hideous Growth
Nani
Saplord
Holy Soldiers / Qonik
Holy Guard
Rebel villagers
Church Villagers
Maharishi Ghronto
General Sintho
Rebel Soldier (male)
Rebel Soldier (female)
L'resa
Gentlehand
Worker Bots / The Seer
Emilia Planck
Henrique
Security Bots"
"credits_castTitle","Cast:","Reparto:","Acteurs :","Sprecher:",Cast:
"credits_characterunlock","You can now play as {0}","Ahora puedes jugar como {0}","Vous pouvez maintenant incarner {0}","Du kannst jetzt als {0} spielen",You can now play as {0}
"credits_concepts","Concepts by:

Errol Bucy
George Eracleous
Zach Tsiakalis-Brown","Conceptos:
 
Errol Bucy
George Eracleous
Zach Tsiakalis-Brown","Concepts :

Errol Bucy
George Eracleous
Zach Tsiakalis-Brown","Konzepte von:
 
 Errol Bucy
 George Eracleous
 Zach Tsiakalis-Brown","Concepts by:

Errol Bucy
George Eracleous
Zach Tsiakalis-Brown"
"credits_continue","Continue ({0})","Continuar ({0})","Continuer ({0})","Weiter ({0})",Continue ({0})
"credits_crest","Crest Ocean System
by Wave Harmonic","Crest Ocean System
Wave Harmonic","Crest Ocean System
de Wave Harmonic","Crest Ocean System
 von Wave Harmonic","Crest Ocean System
by Wave Harmonic"
"credits_fractal","Fractal Shader
by Mikael Christensen
@SyntopiaDK","Sombreador fractal
Mikael Christensen
@SyntopiaDK","Shader fractal
de Mikael Christensen
@SyntopiaDK","Fractal Shader
 von Mikael Christensen
 @SyntopiaDK","Fractal Shader
by Mikael Christensen
@SyntopiaDK"
"credits_guestcharacters","Guest Character Design:

Winter Cochran
Lee Truman","Diseñadores de personajes invitados
 
Winter Cochran
Lee Truman","Concepteurs extras de personnages :

Winter Cochran
Lee Truman","Gastcharakterdesign:
 
 Winter Cochran
 Lee Truman","Guest Character Design:

Winter Cochran
Lee Truman"
"credits_nasa","Earth Textures via NASA Visible Earth
Space skybox via NASA/Goddard Space Flight Center Scientific Visualization Studio
","Texturas de la Tierra de NASA Visible Earth
Entorno espacial de NASA/Estudio de Visualización Científica del Centro de Vuelo Espacial Goddard","Textures de la Terre via NASA Visible Earth
Corps célestes de l'espace via le Scientific Visualization Studio de la NASA/Goddard Space Flight Center","Erdtexturen über NASA Visible Earth
 Weltraum-Skybox über NASA/Goddard Space Flight Center Scientific Visualization Studio","Earth Textures via NASA Visible Earth
Space skybox via NASA/Goddard Space Flight Center Scientific Visualization Studio
"
"credits_newgameplus","New Game Plus is now available","Modo desafío disponible","Nouvelle partie Plus disponible","Neues Spiel Plus ist jetzt verfügbar",New Game Plus is now available
"credits_specialthanks","Special Thanks:","Agradecimientos especiales:","Remerciements :","Besonderer Dank:",Special Thanks:
"credits_thanks","Thanks for playing!","¡Gracias por jugar!","Merci d'avoir joué !","Danke fürs Spielen!",Thanks for playing!
"credits_vocals","Theme Song Vocals
by Lea Cappelli","Voz del tema principal
 Lea Cappelli","Chant du générique :
Lea Cappelli","Theme-Song-Gesang
 von Lea Cappelli","Theme Song Vocals
by Lea Cappelli"
"credits_zach","Code
Art
Music
Sound
& Writing
by:

Zach Tsiakalis-Brown","Código
Arte
Música
Sonido
y narrativa:
 
Zach Tsiakalis-Brown","Code
Art
Musique
Son
et écriture
 :

Zach Tsiakalis-Brown","Code
 Grafik
 Musik
 Ton
 & Texte
 von:
 
 Zach Tsiakalis-Brown","Code
Art
Music
Sound
& Writing
by:

Zach Tsiakalis-Brown"
"credits_alphaTitle","Alpha Testers:","Probadores de alfa:","Testeurs alpha :","Alpha-Tester:",Alpha Testers:
"credits_betaTitle","Beta Testers:","Probadores de beta:","Testeurs bêta :","Beta-Tester:",Beta Testers:
"elevator_controls","ELEVATOR CONTROLS","CONTROLES DEL ASCENSOR","BOUTONS D'ASCENSEUR","AUFZUGSSTEUERUNG",ELEVATOR CONTROLS
"elevator_denied_security","ACCESS DENIED

Security Activity detected","ACCESO DENEGADO
 
Actividad de seguridad detectada","ACCÈS REFUSÉ

Activité de sécurité détectée","ZUGANG VERWEIGERT
 
 Sicherheitsaktivität entdeckt","ACCESS DENIED

Security Activity detected"
"elevator_denied_weight","ACCESS DENIED

Elevator over weight capacity","ACCESO DENEGADO
 
Límite de peso del ascensor sobrepasado","ACCÈS REFUSÉ

Limite de poids dépassée","ZUGANG VERWEIGERT
 
 Aufzug über Gewichtskapazität","ACCESS DENIED

Elevator over weight capacity"
"elevator_materials","Materials Processing 
Access","Procesamiento de materiales
Acceso","Accès au
traitement des matériaux","Materialverarbeitung 
 Zugang","Materials Processing
Access"
"enc_182-kappa","182-Kappa","182-Kappa","182-Kappa","182-Kappa",182-Kappa
"enc_182-kappa_desc","Earth’s biosphere is vastly different with heavy cloudcover and volcanic activity having produced an ecosystem relying on geothermal energy and minerals rather than sunlight.","Posee una biosfera muy distinta de la de la Tierra, ya que la densa capa de nubes y la actividad volcánica han producido un ecosistema que depende de la energía geotérmica y los minerales en lugar de utilizar la luz solar.","La biosphère de la Terre est très différente : la couverture nuageuse épaisse et l'activité volcanique ont produit un écosystème qui dépend de l'énergie géothermique et des minéraux plutôt que des rayons du soleil.","Die Biosphäre der Erde ist ganz anders: Starke Bewölkung und vulkanische Aktivitäten haben ein Ökosystem geschaffen, das auf geothermische Energie und Mineralien statt auf Sonnenlicht angewiesen ist.",Earth’s biosphere is vastly different with heavy cloudcover and volcanic activity having produced an ecosystem relying on geothermal energy and minerals rather than sunlight.
"enc_182-kappa_stats","CLASS: Xeno-Consimilar","CLASE: Xenosimilar","CLASS : Xeno-Consimilar","KLASSE: Xeno-Consimilar",CLASS: Xeno-Consimilar
"enc_182-kappa_sub","volcanic winter","Invierno volcánico","hiver volcanique","vulkanischer Winter",volcanic winter
"enc_201-meyer","201-Meyer","201-Meyer","201-Meyer","201-Meyer",201-Meyer
"enc_201-meyer_desc","<link=0>Gentlehand’s</link> homeworld. Humans have hands instead of heads, and are commonly known as handymen. Earth is slightly less developed than Alpha Domicilium, but still far beyond Vetus-4.","El mundo natal de <link=0>Manoamiga</link>. Los humanos tienen manos en lugar de cabezas, y se les conoce comúnmente como manitas. La Tierra está un poco menos desarrollada que Alpha Domicilium, pero mucho más que Vetus-4.","Le monde d'origine de <link=0>Gentlemain</link>. Les humains ont des mains à la place de la tête et sont connus comme les hommes de main. La Terre est légèrement moins développée qu'Alpha Domicilium, mais beaucoup plus que Vetus-4.","<link=0>Gentlehands</link> Heimatwelt. Die Menschen haben Hände anstelle von Köpfen und sind allgemein als Handwerker bekannt. Die Erde ist etwas weniger entwickelt als Alpha Domicilium, aber immer noch weit über Vetus-4 hinaus.","<link=0>Gentlehand’s</link> homeworld. Humans have hands instead of heads, and are commonly known as handymen. Earth is slightly less developed than Alpha Domicilium, but still far beyond Vetus-4."
"enc_201-meyer_stats","CLASS: Xeno-Proximal","CLASE: Xenopróximo","CLASSE : Xeno-Proximal","KLASSE: Xeno-Proximal",CLASS: Xeno-Proximal
"enc_201-meyer_sub","handy","Muy a mano","ils prennent les choses en main","handlich",handy
"enc_202-meyer","202-Meyer","202-Meyer","202-Meyer","202-Meyer",202-Meyer
"enc_202-meyer_desc","A evolutionarily stunted version of <link=0>Gentlehand’s</link> homeworld. Home to the primal handymen. 

Many creatures originating from 202-Meyer have suffered radiation poisoning and stunted growth. A major ecological catastrophe in the past 200 years is theorized.","Una versión evolutivamente atrofiada del mundo natal de <link=0>Manoamiga</link>. Es el hogar de los manitas primitivos. 
 
Muchas criaturas procedentes de 202-Meyer han sufrido envenenamiento por radiación y retraso en el crecimiento. Se piensa que una gran catástrofe ecológica tuvo lugar en los últimos 200 años.","Une version à l'évolution retardée du monde d'origine de <link=0>Gentlemain</link>, où vivent des hommes de main primitifs.

De nombreuses créatures originaires de 202-Meyer souffrent d'empoisonnement aux radiations et d'une croissance retardée. On suggère qu'une catastrophe écologique majeure aurait eu lieu au cours des 200 dernières années.","Eine evolutionär verkümmerte Version von <link=0>Gentlehands</link> Heimatwelt. Die Heimat der Ur-Handwerker. 
 
 Viele Lebewesen, die von 202-Meyer stammen, haben eine Strahlenvergiftung und ein verkümmertes Wachstum erlitten. Es wird vermutet, dass es in den letzten 200 Jahren zu einer großen Umweltkatastrophe gekommen ist.","A evolutionarily stunted version of <link=0>Gentlehand’s</link> homeworld. Home to the primal handymen.

Many creatures originating from 202-Meyer have suffered radiation poisoning and stunted growth. A major ecological catastrophe in the past 200 years is theorized."
"enc_202-meyer_stats","CLASS: Xeno-Proximal","CLASE: Xenopróximo","CLASSE : Xeno-Proximal","KLASSE: Xeno-Proximal",CLASS: Xeno-Proximal
"enc_202-meyer_sub","war never changes","La guerra nunca cambia","la guerre est immuable","Krieg ändert sich nie",war never changes
"enc_438-eurydice","438-Eurydice","438-Eurydice","438-Eurydice","438-Eurydice",438-Eurydice
"enc_438-eurydice_desc","Hot, wet Earth with a carboniferous-like ecology. Covered in vast, deep swamps and home to the various species of Gremlin, as well as a remarkable variety of other life forms commonly found in the reactor.","Posee un entorno parecido a la de la Tierra, pero cálido y húmedo, con una ecología carbonífera. Está cubierto de vastos y profundos pantanos y es el hogar de varias especies de diablillos, así como de una gran variedad de otras formas de vida que suelen vagar por el reactor.","Une Terre chaude et humide dotée d'une écologie carbonifère. Couverte de vastes marécages profonds, cette planète abrite diverses espèces de lutins, ainsi qu'une remarquable variété d'autres formes de vie généralement trouvées dans le réacteur.","Heiße, feuchte Erde mit einer kohlenstoffähnlichen Ökologie. Ist von riesigen, tiefen Sümpfen bedeckt und beherbergt die verschiedenen Gremlin-Arten sowie eine bemerkenswerte Vielfalt anderer Lebensformen, die im Reaktor vorkommen.","Hot, wet Earth with a carboniferous-like ecology. Covered in vast, deep swamps and home to the various species of Gremlin, as well as a remarkable variety of other life forms commonly found in the reactor."
"enc_438-eurydice_stats","CLASS: Xeno-Consimilar","CLASE: Xenosimilar","CLASS : Xeno-Consimilar","KLASSE: Xeno-Consimilar",CLASS: Xeno-Consimilar
"enc_438-eurydice_sub","the gremlin grove","La arboleda de los diablillos","le bosquet des lutins","der Gremlinhain",the gremlin grove
"enc_acid_handyman","Acid Handyman","Manitas ácido","Homme de main à acide","Saurer Handwerker",Acid Handyman
"enc_acid_handyman_desc","A rare mutated primal handyman which secretes a potent acidic fluid. More dangerous than its blue counterpart, it can fling acid a good distance at its enemies. 

The acid has burned its own skin, leaving it a crispy charcoal color. This cannot be pleasant.","Un manitas primitivo mutado muy raro que segrega un potente fluido ácido. Más peligroso que su contraparte azul, puede arrojar ácido a una gran distancia contra sus enemigos.
 
El ácido ha quemado su propia piel, dejándola de un color semejante al del carbón tostado. Eso tiene que doler.","Un homme de main primitif mutant rare qui sécrète un liquide acide puissant. Plus dangereux que son homologue bleu, il peut jeter de l'acide sur ses ennemis depuis une distance respectable.

L'acide lui a brûlé la peau, lui laissant une couleur de charbon craquant. Ce ne doit pas être agréable.","Ein seltener mutierter Ur-Handwerker, der eine starke säurehaltige Flüssigkeit absondert. Er ist gefährlicher als sein blaues Gegenstück und kann die Säure über eine große Entfernung auf seine Feinde schleudern. 
 
 Die Säure hat seine eigene Haut verbrannt, sodass sie eine knusprige Holzkohlefarbe hat. Das kann nicht angenehm sein.","A rare mutated primal handyman which secretes a potent acidic fluid. More dangerous than its blue counterpart, it can fling acid a good distance at its enemies.

The acid has burned its own skin, leaving it a crispy charcoal color. This cannot be pleasant."
"enc_acid_handyman_stats","SCIENTIFIC NAME: Manus Degenerus
UNIVERSE OF ORIGIN: <link=0>202-Meyer</link>
CLASSIFICATION: FA-H:5
","NOMBRE CIENTÍFICO: Manus degenerus
UNIVERSO DE ORIGEN: <link=0>202-Meyer</link>
CLASIFICACIÓN: FA-H:5","NOM SCIENTIFIQUE : Manus Degenerus
UNIVERS D'ORIGINE : <link=0>202-Meyer</link>
CLASSIFICATION : FA-H:5","WISSENSCHAFTLICHER NAME: Manus Degenerus
 HERKUNFTSUNIVERSUM: <link=0>202-Meyer</link>
 KLASSIFIKATION: FA-H:5","SCIENTIFIC NAME: Manus Degenerus
UNIVERSE OF ORIGIN: <link=0>202-Meyer</link>
CLASSIFICATION: FA-H:5
"
"enc_acid_handyman_sub","sour","Carácter agrio","pro des échanges acides","sauer",sour
"enc_æther","Æther","Æther","Æther","Æther",Æther
