key,en,es,fr,de
credits_cast1,"Brian
Therus
Sylvia
Officer 13
BAMM voice
Dying Alien
Planck Announcer
Hideous Growth
Nani
Saplord
Holy Soldiers / Qonik
Holy Guard
Rebel villagers
Church Villagers
Maharishi Ghronto
General Sintho
Rebel Soldier (male)
Rebel Soldier (female)
L'resa
Gentlehand
Worker Bots / The Seer
Emilia Planck
Henrique
Security Bots","Brian
Therus
Sylvia
Oficial13
Voz del BAMM
Alien moribundo
Anuncios de Planck
Crecimiento espantoso
Nani
Señora de la savia
Soldados sagrados/Qonik
Guardia Sagrada
Aldeanos rebeldes
Aldeanos de la Iglesia
Maharishi Ghronto
General Sintho
Soldado rebelde (hombre)
Soldado rebelde (mujer)
L'resa
Manoamiga
Robots trabajadores/La Vidente
Emilia Planck
Henrique
Robots de seguridad","Brian
Thérus
Sylvia
Agent 13
Voix BBAM
Extraterrestre mourant
Annonceur de Planck
Tumeur hideuse
Nani
Séveur
Soldats saints/Qonik
Garde saint
Villageois rebelles
Villageois de l'Église
Maharishi Ghronto
Général Sintho
Soldat rebelle
Soldate rebelle 
L'resa
Gentlemain
Robots ouvriers/La Voyante
Emilia Planck
Henrique
Robots de sécurité","Brian
 Therus
 Sylvia
 Officer 13
 BAMM-Stimme
 Sterbendes Alien
 Planck-Ansager
 Abscheuliches Gewächs
 Nani
 Saftlord
 Heilige Soldaten / Qonik
 Heiliger Wächter
 Rebellen-Dorfbewohner
 Kirchen-Dorfbewohner
 Maharishi Ghronto
 General Sintho
 Rebellen-Soldat (männlich)
 Rebellen-Soldat (weiblich)
 L’resa
 Gentlehand
 Arbeiter-Bots/Die Seherin
 Emilia Planck
 Henrique
 Security-Bots"
credits_castTitle,Cast:,Reparto:,Acteurs :,Sprecher:
credits_characterunlock,"You can now play as {0}","Ahora puedes jugar como {0}","Vous pouvez maintenant incarner {0}","Du kannst jetzt als {0} spielen"
credits_concepts,"Concepts by:

Errol Bucy
George Eracleous
Zach Tsiakalis-Brown","Conceptos:
 
Errol Bucy
George Eracleous
Zach Tsiakalis-Brown","Concepts :

Errol Bucy
George Eracleous
Zach Tsiakalis-Brown","Konzepte von:
 
 Errol Bucy
 George Eracleous
 Zach Tsiakalis-Brown"
credits_continue,"Continue ({0})","Continuar ({0})","Continuer ({0})","Weiter ({0})"
credits_crest,"Crest Ocean System
by Wave Harmonic","Crest Ocean System
Wave Harmonic","Crest Ocean System
de Wave Harmonic","Crest Ocean System
 von Wave Harmonic"
credits_fractal,"Fractal Shader
by Mikael Christensen
@SyntopiaDK","Sombreador fractal
Mikael Christensen
@SyntopiaDK","Shader fractal
de Mikael Christensen
@SyntopiaDK","Fractal Shader
 von Mikael Christensen
 @SyntopiaDK"
credits_guestcharacters,"Guest Character Design:

Winter Cochran
Lee Truman","Diseñadores de personajes invitados
 
Winter Cochran
Lee Truman","Concepteurs extras de personnages :

Winter Cochran
Lee Truman","Gastcharakterdesign:
 
 Winter Cochran
 Lee Truman"
credits_nasa,"Earth Textures via NASA Visible Earth
Space skybox via NASA/Goddard Space Flight Center Scientific Visualization Studio
","Texturas de la Tierra de NASA Visible Earth
Entorno espacial de NASA/Estudio de Visualización Científica del Centro de Vuelo Espacial Goddard","Textures de la Terre via NASA Visible Earth
Corps célestes de l'espace via le Scientific Visualization Studio de la NASA/Goddard Space Flight Center","Erdtexturen über NASA Visible Earth
 Weltraum-Skybox über NASA/Goddard Space Flight Center Scientific Visualization Studio"
credits_newgameplus,ニューゲーム+で遊べるようになりました。,"Modo desafío disponible","Nouvelle partie Plus disponible","Neues Spiel Plus ist jetzt verfügbar"
credits_specialthanks,"Special Thanks:","Agradecimientos especiales:",Remerciements :,"Besonderer Dank:"
credits_thanks,"Thanks for playing!","¡Gracias por jugar!","Merci d'avoir joué !","Danke fürs Spielen!"
credits_vocals,"Theme Song Vocals
by Lea Cappelli","Voz del tema principal
 Lea Cappelli","Chant du générique :
Lea Cappelli","Theme-Song-Gesang
 von Lea Cappelli"
credits_zach,"Code
Art
Music
Sound
& Writing
by:

Zach Tsiakalis-Brown","Código
Arte
Música
Sonido
y narrativa:
 
Zach Tsiakalis-Brown","Code
Art
Musique
Son
et écriture
 :

Zach Tsiakalis-Brown","Code
 Grafik
 Musik
 Ton
 & Texte
 von:
 
 Zach Tsiakalis-Brown"
credits_alphaTitle,"Alpha Testers:","Probadores de alfa:","Testeurs alpha :",Alpha-Tester:
credits_betaTitle,"Beta Testers:","Probadores de beta:","Testeurs bêta :",Beta-Tester:
elevator_controls,エレベーター制御装置,"CONTROLES DEL ASCENSOR","BOUTONS D'ASCENSEUR",AUFZUGSSTEUERUNG
elevator_denied_security,"アクセス拒否

セキュリティ活動を検知しました","ACCESO DENEGADO
 
Actividad de seguridad detectada","ACCÈS REFUSÉ

Activité de sécurité détectée","ZUGANG VERWEIGERT
 
 Sicherheitsaktivität entdeckt"
elevator_denied_weight,"アクセス拒否

エレベーター重量超過","ACCESO DENEGADO
 
Límite de peso del ascensor sobrepasado","ACCÈS REFUSÉ

Limite de poids dépassée","ZUGANG VERWEIGERT
 
 Aufzug über Gewichtskapazität"
elevator_materials,"素材処理区画
アクセス","Procesamiento de materiales
Acceso","Accès au
traitement des matériaux","Materialverarbeitung 
 Zugang"
enc_182-kappa,182-カッパ,182-Kappa,182-Kappa,182-Kappa
enc_182-kappa_desc,地球の生物圏は厚い雲と地熱エネルギーによって大きく異なったものとなっている。日光よりも、地熱エネルギーや鉱物に依存する生態系を生み出した。,"Posee una biosfera muy distinta de la de la Tierra, ya que la densa capa de nubes y la actividad volcánica han producido un ecosistema que depende de la energía geotérmica y los minerales en lugar de utilizar la luz solar.","La biosphère de la Terre est très différente : la couverture nuageuse épaisse et l'activité volcanique ont produit un écosystème qui dépend de l'énergie géothermique et des minéraux plutôt que des rayons du soleil.","Die Biosphäre der Erde ist ganz anders: Starke Bewölkung und vulkanische Aktivitäten haben ein Ökosystem geschaffen, das auf geothermische Energie und Mineralien statt auf Sonnenlicht angewiesen ist."
enc_182-kappa_stats,"クラス: ゼノコンシミラー","CLASE: Xenosimilar","CLASS : Xeno-Consimilar","KLASSE: Xeno-Consimilar"
enc_182-kappa_sub,火山の冬,"Invierno volcánico","hiver volcanique","vulkanischer Winter"
enc_201-meyer,201-マイヤー,201-Meyer,201-Meyer,201-Meyer
enc_201-meyer_desc,<link=0>ジェントルハンド</link>の出身。首からは頭の代わりに手首が生えている人間は、一般的にハンド人として知られている。地球の発展はアルファ・ドミシリウムよりわずかに遅れているが、それでもヴェトス-4よりは遥かに進んでいる。,"El mundo natal de <link=0>Manoamiga</link>. Los humanos tienen manos en lugar de cabezas, y se les conoce comúnmente como manitas. La Tierra está un poco menos desarrollada que Alpha Domicilium, pero mucho más que Vetus-4.","Le monde d'origine de <link=0>Gentlemain</link>. Les humains ont des mains à la place de la tête et sont connus comme les hommes de main. La Terre est légèrement moins développée qu'Alpha Domicilium, mais beaucoup plus que Vetus-4.","<link=0>Gentlehands</link> Heimatwelt. Die Menschen haben Hände anstelle von Köpfen und sind allgemein als Handwerker bekannt. Die Erde ist etwas weniger entwickelt als Alpha Domicilium, aber immer noch weit über Vetus-4 hinaus."
enc_201-meyer_stats,"クラス: ゼノプロクシマル","CLASE: Xenopróximo","CLASSE : Xeno-Proximal","KLASSE: Xeno-Proximal"
enc_201-meyer_sub,お上手,"Muy a mano","ils prennent les choses en main",handlich
enc_202-meyer,202-マイヤー,202-Meyer,202-Meyer,202-Meyer
enc_202-meyer_desc,"<link=0>ジェントルハンド</link>のホームワールドの進化が遅れたバージョン。原始ハンド人の起源宇宙。

202-マイヤーから来た多くの生物に、放射能汚染と発達不全が見られる。過去200年以内に大惨事があり、生態系に影響したものと見られる。","Una versión evolutivamente atrofiada del mundo natal de <link=0>Manoamiga</link>. Es el hogar de los manitas primitivos. 
 
Muchas criaturas procedentes de 202-Meyer han sufrido envenenamiento por radiación y retraso en el crecimiento. Se piensa que una gran catástrofe ecológica tuvo lugar en los últimos 200 años.","Une version à l'évolution retardée du monde d'origine de <link=0>Gentlemain</link>, où vivent des hommes de main primitifs.

De nombreuses créatures originaires de 202-Meyer souffrent d'empoisonnement aux radiations et d'une croissance retardée. On suggère qu'une catastrophe écologique majeure aurait eu lieu au cours des 200 dernières années.","Eine evolutionär verkümmerte Version von <link=0>Gentlehands</link> Heimatwelt. Die Heimat der Ur-Handwerker. 
 
 Viele Lebewesen, die von 202-Meyer stammen, haben eine Strahlenvergiftung und ein verkümmertes Wachstum erlitten. Es wird vermutet, dass es in den letzten 200 Jahren zu einer großen Umweltkatastrophe gekommen ist."
enc_202-meyer_stats,"分類: ゼノプロクシマル","CLASE: Xenopróximo","CLASSE : Xeno-Proximal","KLASSE: Xeno-Proximal"
enc_202-meyer_sub,戦争は変わらない,"La guerra nunca cambia","la guerre est immuable","Krieg ändert sich nie"
enc_438-eurydice,438-エウリュディケ,438-Eurydice,438-Eurydice,438-Eurydice
enc_438-eurydice_desc,温暖で湿潤な地球で、石炭紀のような生態系が広がっている。広大で深い湿地に覆われ、様々な種類のグレムリンが生息しているだけでなく、リアクター周辺で見られる多種多様な生命も存在している。,"Posee un entorno parecido a la de la Tierra, pero cálido y húmedo, con una ecología carbonífera. Está cubierto de vastos y profundos pantanos y es el hogar de varias especies de diablillos, así como de una gran variedad de otras formas de vida que suelen vagar por el reactor.","Une Terre chaude et humide dotée d'une écologie carbonifère. Couverte de vastes marécages profonds, cette planète abrite diverses espèces de lutins, ainsi qu'une remarquable variété d'autres formes de vie généralement trouvées dans le réacteur.","Heiße, feuchte Erde mit einer kohlenstoffähnlichen Ökologie. Ist von riesigen, tiefen Sümpfen bedeckt und beherbergt die verschiedenen Gremlin-Arten sowie eine bemerkenswerte Vielfalt anderer Lebensformen, die im Reaktor vorkommen."
enc_438-eurydice_stats,"クラス: ゼノコンシミラー","CLASE: Xenosimilar","CLASS : Xeno-Consimilar","KLASSE: Xeno-Consimilar"
enc_438-eurydice_sub,グレムリングローブ,"La arboleda de los diablillos","le bosquet des lutins","der Gremlinhain"
enc_acid_handyman,アシッドハンド人,"Manitas ácido","Homme de main à acide","Saurer Handwerker"
enc_acid_handyman_desc,"強力な酸性の液体を分泌する、原始ハンド人の珍しい突然変異体。青いハンド人よりも危険で、投げた酸は遠くの敵まで届く。

酸によって自身の肌も焼かれ、炭のように黒い色をしている。気持ちがいいものではないだろう。","Un manitas primitivo mutado muy raro que segrega un potente fluido ácido. Más peligroso que su contraparte azul, puede arrojar ácido a una gran distancia contra sus enemigos.
 
El ácido ha quemado su propia piel, dejándola de un color semejante al del carbón tostado. Eso tiene que doler.","Un homme de main primitif mutant rare qui sécrète un liquide acide puissant. Plus dangereux que son homologue bleu, il peut jeter de l'acide sur ses ennemis depuis une distance respectable.

L'acide lui a brûlé la peau, lui laissant une couleur de charbon craquant. Ce ne doit pas être agréable.","Ein seltener mutierter Ur-Handwerker, der eine starke säurehaltige Flüssigkeit absondert. Er ist gefährlicher als sein blaues Gegenstück und kann die Säure über eine große Entfernung auf seine Feinde schleudern. 
 
 Die Säure hat seine eigene Haut verbrannt, sodass sie eine knusprige Holzkohlefarbe hat. Das kann nicht angenehm sein."
enc_acid_handyman_stats,"学名: テクビ・インサピエンス
起源宇宙: <link=0>202-マイヤー</link>
分類: FA-H:5","NOMBRE CIENTÍFICO: Manus degenerus
UNIVERSO DE ORIGEN: <link=0>202-Meyer</link>
CLASIFICACIÓN: FA-H:5","NOM SCIENTIFIQUE : Manus Degenerus
UNIVERS D'ORIGINE : <link=0>202-Meyer</link>
CLASSIFICATION : FA-H:5","WISSENSCHAFTLICHER NAME: Manus Degenerus
 HERKUNFTSUNIVERSUM: <link=0>202-Meyer</link>
 KLASSIFIKATION: FA-H:5"
enc_acid_handyman_sub,すっぱい,"Carácter agrio","pro des échanges acides",sauer
enc_æther,ヱーテル,Æther,Æther,Æther
enc_æther_desc,"ヱーテルが初めて発見された並行宇宙の一つであることは、その異常な性質を考えると奇妙なことだ。未知の光源から常に光を浴びている真っ白で広大な空間。地球と同様の大気と重力を有しているにもかかわらず、地面は全く歪曲していないことが実験から明らかになり、これは無限平面を示唆している。

多種多様な生物が生息しており、遺伝的な類似性はほとんど見られない。特に注目すべきは優占種である知的生命体の<link=0>ヱーテルバック</link>で、原始的な部族や遊牧民が存在する。

その特異な構成と次元連続体内の主要な位置づけから、ヱーテルは未知の人工構造物であると推測されている。繁栄した古代文明の痕跡も見つかっているが、遠い昔に滅びてしまったようだ。","Æther fue uno de los primeros universos alternativos descubiertos, lo cual es extraño, considerando su naturaleza anómala. Es una extensión blanquecina bañada por una perpetua luz de origen desconocido. Los experimentos determinaron que a pesar de tener una atmósfera y gravedad similares a las de la Tierra, el suelo no tiene absolutamente ninguna curvatura, lo que sugiere un plano infinito. 
 
Está habitado por diversas criaturas, a menudo sin similitudes genéticas. Los <link=0>ætherbacks</link> son la forma de vida consciente dominante, presentes en tribus primitivas y grupos nómadas.
 
Debido a su extraña composición y destacada posición dentro del continuo dimensional, se piensa que Æther es un entorno artificial con propósitos desconocidos. Se pueden encontrar rastros de una civilización antigua y prolífica, pero parece haber desaparecido hace mucho tiempo.","Æther était l'un des premiers univers alternatifs découverts, ce qui est bizarre si on considère sa nature anormale. Une étendue décolorée par une lumière perpétuelle de source inconnue. Selon les expériences, malgré son atmosphère et sa gravité semblables à la Terre, le sol n'est en rien courbé, suggérant une surface plane infinie.

Habitée par diverses créatures, souvent n'ayant aucune similarité génétique. Il est à noter que l'<link=0>Ætherback</link> est l'être sensible dominant, vivant en tribus primitives et groupes nomades.

En raison de sa composition et de sa position remarquable dans le continuum dimensionnel, on spécule que ce serait une construction artificielle à des fins inconnues. On y trouve des traces d'une ancienne civilisation prolifique qui semble avoir disparu depuis longtemps.","Æther war eines der ersten alternativen Universen, die entdeckt wurden, was angesichts seiner anomalen Beschaffenheit seltsam ist. Eine bleiche Weite, die von einer unbekannten Quelle in ewiges Licht getaucht wird. Experimente ergaben, dass der Boden trotz erdähnlicher Atmosphäre und Schwerkraft keinerlei Krümmung aufweist, was auf eine unendliche Ebene schließen lässt. 
 
 Es wird von einer Vielzahl von Lebewesen bewohnt, die oft keine genetischen Gemeinsamkeiten haben. Vor allem der <link=0>Ætherback</link> ist das vorherrschende Lebewesen, das in primitiven Stämmen und nomadischen Gruppen lebt.
 
 Aufgrund seiner seltsamen Zusammensetzung und seiner herausragenden Position im Dimensionskontinuum wird angenommen, dass Æther eine künstliche Konstruktion für unbekannte Zwecke ist. Es lassen sich Spuren einer alten und produktiven Zivilisation finden, aber sie scheinen längst verschwunden zu sein."
enc_æther_stats,"クラス: スカール・ディスハーモニック","CLASE: Skalldisarmónico","CLASSE : Skall-Disharmonic","KLASSE: Skall-Disharmonisch"
enc_æther_sub,忘らるる牢獄,"La prisión olvidada","la prison oubliée","das vergessene Gefängnis"
enc_ætherback,ヱーテルバック,Ætherback,Ætherback,Ætherback
enc_ætherback_desc,"豊かな知性を持ちながらも無慈悲なヱーテルバックは、高度な弓矢で武装していることが多く、群れになって危険な獲物を狩ることを何よりも楽しんでいる。分散した神経系と無数の眼を守るようにアーマープレートを着ており、弱点らしい弱点はない。

彼らの故郷であるエーテルは食糧に乏しく、定期的に獲物を求めて移住する遊牧文化が根ざしている。

知性を持つ希少な種族で、クォンタムリアクター内においては小さな集落を形成することが知られている。しかし他種族とのコミュニケーションには興味を示さないため、近づくのは得策ではない。","Los ætherbacks son cazadores despiadados e inteligentes que trabajan en grupos. A menudo van armados con sofisticados arcos y flechas, y nada les gusta más que cazar presas peligrosas. No tienen puntos débiles, cuentan con un sistema nervioso descentralizado y docenas de ojos ubicados entre sus placas blindadas.
 
Pertenecen a una cultura nómada del planeta Æther, donde la comida es escasa y la migración es necesaria para conseguir presas de manera regular.
 
Pertenecen a unas de las pocas especies extraterrestres inteligentes, y se sabe que se reúnen y crean pequeños asentamientos en el Reactor Cuántico cuando pueden. Sin embargo, no tienen interés en comunicarse con otras especies y no es aconsejable acercarse.","Un être redoutable et intelligent qui chasse en groupe. Les Ætherbacks sont souvent armés de flèches et d'arcs sophistiqués et aiment plus que tout chasser des proies dangereuses. Les Ætherbackbacks n'ont pas de points faibles ; leur système nerveux est décentralisé et ils sont dotés d'une douzaine d'yeux logés entre leurs plaques d'armures.

Ils font partie d'une culture nomade sur leur planète, Æther, où la nourriture est rare, ce qui les pousse à migrer pour suivre des sources régulières de proies.

L'une des rares espèces extraterrestres douées d'intelligence, les Ætherbacks sont connus pour créer de petites colonies dans le réacteur quantique lorsqu'ils le peuvent. Cependant, communiquer avec d'autres espèces ne les intéresse pas, et il est recommandé de ne pas s'en approcher.","Ein rücksichtsloser und intelligenter Rudeljäger. Ætherbacks sind oft mit ausgeklügelten Bögen und Pfeilen bewaffnet und jagen gefährliche Beute am liebsten. Ætherbacks haben keine Schwachstellen, ein dezentralisiertes Nervensystem und Dutzende von Augen, die zwischen ihren Panzern eingebettet sind.
 
 Sie gehören zu einer nomadischen Kultur in ihrer Heimat Aether, wo die Nahrung knapp ist und sie wandern müssen, um regelmäßigen Beutequellen zu folgen.
 
 Als eine der seltenen intelligenten außerirdischen Spezies sind sie dafür bekannt, dass sie sich im Quantenreaktor versammeln und kleine Siedlungen gründen, wenn sie können. Sie haben jedoch kein Interesse an der Kommunikation mit anderen Arten und man sollte sich ihnen nicht nähern."
